target_population	delivery_model	setting	income_level	followup_reporting_level	n_records
migrant_minority	chw_door_to_door	community_outreach	HIC	none	2
migrant_minority	chw_door_to_door	community_outreach	UNK	none	2
migrant_minority	clinic_pickup_return_clinic	clinic	HIC	none	1
migrant_minority	clinic_pickup_return_clinic	other	UNK	none	1
migrant_minority	clinic_pickup_return_clinic	primary_care	HIC	none	1
migrant_minority	clinic_pickup_return_clinic	primary_care	UNK	none	1
migrant_minority	clinic_pickup_return_clinic	primary_care	UNK	referral_only	4
migrant_minority	mail_to_home_return_mail	home_mail	HIC	none	2
migrant_minority	mail_to_home_return_mail	home_mail	UNK	none	2
migrant_minority	outreach_event_distribution	community_outreach	HIC	none	2
migrant_minority	outreach_event_distribution	community_outreach	UNK	none	2
migrant_minority	outreach_event_distribution	community_outreach	UNK	referral_only	3
migrant_minority	unk	home_mail	HIC	none	2
migrant_minority	unk	home_mail	UNK	none	3
migrant_minority	unk	home_mail	UNK	referral_only	2
migrant_minority	unk	other	HIC	none	7
migrant_minority	unk	other	HIC	referral_only	1
migrant_minority	unk	other	UNK	completion_reported	1
migrant_minority	unk	other	UNK	none	3
migrant_minority	unk	other	UNK	referral_only	1
migrant_minority	unk	survey	HIC	none	1
never_screened	clinic_pickup_return_clinic	other	HIC	referral_only	1
never_screened	clinic_pickup_return_clinic	other	UNK	none	1
never_screened	clinic_pickup_return_clinic	primary_care	HIC	none	4
never_screened	clinic_pickup_return_clinic	primary_care	HIC	referral_only	2
never_screened	clinic_pickup_return_clinic	primary_care	UNK	referral_only	1
never_screened	mail_to_home_return_mail	community_outreach	HIC	none	1
never_screened	mail_to_home_return_mail	home_mail	HIC	completion_reported	2
never_screened	mail_to_home_return_mail	home_mail	HIC	none	1
never_screened	mail_to_home_return_mail	home_mail	HIC	referral_only	3
never_screened	outreach_event_distribution	community_outreach	HIC	completion_reported	2
never_screened	outreach_event_distribution	community_outreach	HIC	referral_only	2
never_screened	outreach_event_distribution	community_outreach	UNK	referral_only	1
never_screened	unk	home_mail	HIC	referral_only	1
never_screened	unk	other	HIC	referral_only	3
never_screened	unk	primary_care	HIC	none	1
never_screened	unk	primary_care	HIC	referral_only	1
nonattenders	clinic_pickup_return_clinic	primary_care	HIC	none	1
nonattenders	clinic_pickup_return_clinic	primary_care	HIC	referral_only	1
nonattenders	clinic_pickup_return_clinic	primary_care	UNK	completion_reported	2
nonattenders	clinic_pickup_return_clinic	primary_care	UNK	none	2
nonattenders	clinic_pickup_return_clinic	primary_care	UNK	referral_only	7
nonattenders	home_mail	home_mail	HIC	referral_only	1
nonattenders	home_mail	other	HIC	none	1
nonattenders	mail_to_home_return_mail	home_mail	UNK	completion_reported	2
nonattenders	mail_to_home_return_mail	home_mail	UNK	none	5
nonattenders	mail_to_home_return_mail	home_mail	UNK	referral_only	2
nonattenders	mail_to_home_return_mail	organized_screening	HIC	completion_reported	1
nonattenders	mail_to_home_return_mail	organized_screening	HIC	none	4
nonattenders	mail_to_home_return_mail	other	UNK	referral_only	1
nonattenders	mail_to_home_return_mail	primary_care	HIC	none	1
nonattenders	mail_to_home_return_mail	primary_care	UNK	completion_reported	1
nonattenders	mail_to_home_return_mail	primary_care	UNK	referral_only	1
nonattenders	mixed_or_multiarm	primary_care	HIC	none	1
nonattenders	outreach_event_distribution	home_mail	UNK	none	1
nonattenders	outreach_event_distribution	home_mail	UNK	referral_only	1
nonattenders	outreach_event_distribution	primary_care	UNK	referral_only	1
nonattenders	unk	home_mail	HIC	completion_reported	1
nonattenders	unk	home_mail	UNK	completion_reported	2
nonattenders	unk	home_mail	UNK	none	3
nonattenders	unk	home_mail	UNK	referral_only	2
nonattenders	unk	other	HIC	none	1
nonattenders	unk	other	HIC	referral_only	3
nonattenders	unk	other	UNK	completion_reported	4
nonattenders	unk	other	UNK	none	7
nonattenders	unk	other	UNK	referral_only	5
other	chw_door_to_door	community_outreach	UNK	completion_reported	1
other	chw_door_to_door	community_outreach	UNK	none	4
other	chw_door_to_door	community_outreach	UNK	referral_only	2
other	clinic_pickup_return_clinic	clinic	HIC	none	5
other	clinic_pickup_return_clinic	clinic	HIC	referral_only	1
other	clinic_pickup_return_clinic	clinic	LMIC	completion_reported	1
other	clinic_pickup_return_clinic	clinic	LMIC	none	7
other	clinic_pickup_return_clinic	colposcopy_clinic	HIC	none	1
other	clinic_pickup_return_clinic	community	LMIC	none	1
other	clinic_pickup_return_clinic	community_outreach	UNK	none	1
other	clinic_pickup_return_clinic	community_outreach	UNK	referral_only	1
other	clinic_pickup_return_clinic	other	UNK	none	1
other	clinic_pickup_return_clinic	primary_care	HIC	completion_reported	1
other	clinic_pickup_return_clinic	primary_care	HIC	none	3
other	clinic_pickup_return_clinic	primary_care	HIC	referral_only	4
other	clinic_pickup_return_clinic	primary_care	UNK	completion_reported	2
other	clinic_pickup_return_clinic	primary_care	UNK	none	27
other	clinic_pickup_return_clinic	primary_care	UNK	referral_only	25
other	home_mail	home_mail	UNK	completion_reported	1
other	mail_to_home_return_mail	home_mail	HIC	referral_only	3
other	mail_to_home_return_mail	home_mail	UNK	completion_reported	2
other	mail_to_home_return_mail	home_mail	UNK	none	6
other	mail_to_home_return_mail	home_mail	UNK	referral_only	7
other	mail_to_home_return_mail	other	UNK	none	1
other	mail_to_home_return_mail	other	UNK	referral_only	1
other	outreach_event_distribution	community_outreach	HIC	none	3
other	outreach_event_distribution	community_outreach	HIC	referral_only	3
other	outreach_event_distribution	community_outreach	LMIC	referral_only	1
other	outreach_event_distribution	community_outreach	UNK	completion_reported	4
other	outreach_event_distribution	community_outreach	UNK	none	22
other	outreach_event_distribution	community_outreach	UNK	referral_only	23
other	outreach_event_distribution	home_mail	UNK	none	2
other	outreach_event_distribution	home_mail	UNK	referral_only	1
other	outreach_event_distribution	other	HIC	none	1
other	outreach_event_distribution	other	UNK	none	1
other	outreach_event_distribution	primary_care	UNK	none	2
other	unk	clinic	LMIC	none	1
other	unk	community	LMIC	none	1
other	unk	community_outreach	UNK	none	2
other	unk	community_outreach	UNK	referral_only	1
other	unk	home_mail	HIC	referral_only	1
other	unk	home_mail	UNK	completion_reported	2
other	unk	home_mail	UNK	none	11
other	unk	home_mail	UNK	referral_only	9
other	unk	other	HIC	none	5
other	unk	other	HIC	referral_only	5
other	unk	other	UNK	completion_reported	7
other	unk	other	UNK	none	23
other	unk	other	UNK	referral_only	17
other	unk	primary_care	HIC	none	1
other	unk	primary_care	UNK	none	1
rural_low_access	chw_door_to_door	community_outreach	LMIC	none	1
rural_low_access	chw_door_to_door	community_outreach	LMIC	referral_only	1
rural_low_access	clinic_pickup_return_clinic	clinic	LMIC	none	1
rural_low_access	clinic_pickup_return_clinic	clinic	LMIC	referral_only	1
rural_low_access	clinic_pickup_return_clinic	home_mail	HIC	none	1
rural_low_access	clinic_pickup_return_clinic	home_mail	HIC	referral_only	1
rural_low_access	mixed_or_multiarm	primary_care	LMIC	none	1
rural_low_access	outreach_event_distribution	community_outreach	HIC	none	2
rural_low_access	outreach_event_distribution	community_outreach	HIC	referral_only	1
rural_low_access	outreach_event_distribution	community_outreach	LMIC	completion_reported	1
rural_low_access	outreach_event_distribution	community_outreach	LMIC	none	2
rural_low_access	outreach_event_distribution	community_outreach	UNK	none	1
rural_low_access	outreach_event_distribution	school_community	LMIC	none	3
rural_low_access	unk	community	LMIC	none	1
rural_low_access	unk	community_outreach	LMIC	none	1
rural_low_access	unk	health_system_policy	LMIC	none	1
rural_low_access	unk	home_mail	HIC	none	1
rural_low_access	unk	home_mail	UNK	none	1
rural_low_access	unk	home_mail	UNK	referral_only	1
underscreened_general	chw_door_to_door	community_outreach	UNK	completion_reported	1
underscreened_general	chw_door_to_door	community_outreach	UNK	none	1
underscreened_general	clinic_pickup_return_clinic	community_clinic	HIC	none	1
underscreened_general	clinic_pickup_return_clinic	community_outreach	UNK	referral_only	3
underscreened_general	clinic_pickup_return_clinic	home_mail	HIC	referral_only	2
underscreened_general	clinic_pickup_return_clinic	other	HIC	none	1
underscreened_general	clinic_pickup_return_clinic	primary_care	HIC	none	1
underscreened_general	clinic_pickup_return_clinic	primary_care	HIC	referral_only	5
underscreened_general	clinic_pickup_return_clinic	primary_care	LMIC	none	1
underscreened_general	clinic_pickup_return_clinic	primary_care	UNK	none	4
underscreened_general	clinic_pickup_return_clinic	primary_care	UNK	referral_only	12
underscreened_general	mail_to_home_return_mail	community_outreach	UNK	none	1
underscreened_general	mail_to_home_return_mail	home_mail	HIC	completion_reported	1
underscreened_general	mail_to_home_return_mail	home_mail	HIC	none	9
underscreened_general	mail_to_home_return_mail	home_mail	HIC	referral_only	4
underscreened_general	mail_to_home_return_mail	home_mail	UNK	none	11
underscreened_general	mail_to_home_return_mail	home_mail	UNK	referral_only	5
underscreened_general	mail_to_home_return_mail	organized_screening	HIC	referral_only	1
underscreened_general	mail_to_home_return_mail	other	UNK	none	2
underscreened_general	mail_to_home_return_mail	primary_care	HIC	none	1
underscreened_general	mail_to_home_return_mail	primary_care	UNK	none	1
underscreened_general	mixed_or_multiarm	organized_screening	HIC	none	2
underscreened_general	mixed_or_multiarm	organized_screening	LMIC	none	1
underscreened_general	outreach_event_distribution	community_outreach	HIC	none	2
underscreened_general	outreach_event_distribution	community_outreach	HIC	referral_only	3
underscreened_general	outreach_event_distribution	community_outreach	LMIC	none	1
underscreened_general	outreach_event_distribution	community_outreach	UNK	none	2
underscreened_general	outreach_event_distribution	community_outreach	UNK	referral_only	1
underscreened_general	outreach_event_distribution	home_mail	HIC	none	1
underscreened_general	outreach_event_distribution	home_mail	UNK	none	1
underscreened_general	outreach_event_distribution	home_mail	UNK	referral_only	1
underscreened_general	outreach_event_distribution	primary_care	HIC	none	1
underscreened_general	outreach_event_distribution	primary_care	UNK	none	1
underscreened_general	outreach_event_distribution	primary_care	UNK	referral_only	1
underscreened_general	unk	community_outreach	HIC	referral_only	1
underscreened_general	unk	home_mail	HIC	none	2
underscreened_general	unk	home_mail	HIC	referral_only	1
underscreened_general	unk	home_mail	UNK	none	4
underscreened_general	unk	home_mail	UNK	referral_only	1
underscreened_general	unk	other	HIC	none	3
underscreened_general	unk	other	HIC	referral_only	4
underscreened_general	unk	other	UNK	none	7
underscreened_general	unk	other	UNK	referral_only	2
underscreened_general	unk	primary_care	UNK	referral_only	1
